"FID","Latitude","Longitude","STATE_ABBR","STATE_NAME"
3089,47.75810088,-108.76870464,"MT","Montana"
3101,48.00568426,-91.81267698,"MN","Minnesota"
3118,45.76329761,-68.34962697,"ME","Maine"
3185,47.86474309,-115.98582812,"ID","Idaho"
3186,48.03622915,-114.59613906,"MT","Montana"
3187,48.19551866,-113.19830651,"MT","Montana"
3281,47.64299294,-123.26947214,"WA","Washington"
3285,48.5076372,-117.68759512,"WA","Washington"
3287,48.72470189,-114.8658723,"MT","Montana"
3288,48.80514375,-113.43596292,"MT","Montana"
3289,48.87771799,-112.01891357,"MT","Montana"
3002,47.04083362,-88.67570769,"MI","Michigan"
3003,47.12970653,-88.03782183,"MI","Michigan"
3004,46.67473531,-85.74201413,"MI","Michigan"
3005,46.68814106,-85.21696521,"MI","Michigan"
3015,45.19320849,-70.96349635,"ME","Maine"
3016,45.20126093,-69.96508997,"ME","Maine"
3078,45.77055009,-123.50209092,"OR","Oregon"
3082,46.66200744,-118.40910999,"WA","Washington"
3083,46.85455024,-117.05575124,"WA","Washington"
3084,47.03529161,-115.69360983,"ID","Idaho"
3087,47.50556889,-111.55940726,"MT","Montana"
3088,47.63799665,-110.1671481,"MT","Montana"
3090,47.86579777,-107.36464802,"MT","Montana"
3091,47.96101122,-105.95556383,"MT","Montana"
3092,48.04367328,-104.54205074,"MT","Montana"
3093,48.11372439,-103.12471905,"ND","North Dakota"
3094,48.17111368,-101.70418919,"ND","North Dakota"
3095,48.21579918,-100.28109015,"ND","North Dakota"
3096,48.24774807,-98.85605779,"ND","North Dakota"
3097,48.26693676,-97.42973322,"ND","North Dakota"
3098,48.27335105,-96.00276103,"MN","Minnesota"
3099,48.26075668,-94.5842697,"MN","Minnesota"
3100,48.19340202,-93.16294161,"MN","Minnesota"
3102,47.950471,-90.47833575,"MN","Minnesota"
3103,47.98367745,-88.90138817,"MI","Michigan"
3116,46.23279247,-70.2278579,"ME","Maine"
3117,46.01362529,-69.58049861,"ME","Maine"
3119,45.37801202,-67.57987819,"ME","Maine"
3179,46.63103186,-123.72312305,"WA","Washington"
3180,46.80168391,-122.79342261,"WA","Washington"
3181,47.05927504,-121.45305391,"WA","Washington"
3182,47.2783125,-120.10093215,"WA","Washington"
3183,47.48565829,-118.7387134,"WA","Washington"
3184,47.68117823,-117.3668528,"WA","Washington"
3188,48.34250034,-111.79287164,"MT","Montana"
3189,48.47706985,-110.38039486,"MT","Montana"
3190,48.58584499,-108.97090795,"MT","Montana"
3191,48.64336628,-107.54066808,"MT","Montana"
3192,48.69151675,-106.10364992,"MT","Montana"
3193,48.7331976,-104.66515875,"MT","Montana"
3194,48.76868786,-103.22525716,"ND","North Dakota"
3195,48.79762093,-101.78347639,"ND","North Dakota"
3196,48.82039306,-100.34088911,"ND","North Dakota"
3197,48.83646066,-98.89530344,"ND","North Dakota"
3198,48.84613137,-97.44954995,"ND","North Dakota"
3199,48.84952166,-96.00265535,"MN","Minnesota"
3200,48.97088656,-94.96267858,"MN","Minnesota"
3218,46.80001865,-69.15638527,"ME","Maine"
3219,46.6016951,-68.17339698,"ME","Maine"
3280,47.46786194,-124.08641676,"WA","Washington"
3282,47.87121649,-121.78039304,"WA","Washington"
3283,48.09886644,-120.45874056,"WA","Washington"
3284,48.30947863,-119.07796243,"WA","Washington"
3286,48.63837833,-116.29676802,"ID","Idaho"
3290,48.94229825,-110.65110974,"MT","Montana"
3291,48.98704537,-109.62090373,"MT","Montana"
3319,47.27752631,-68.76567493,"ME","Maine"
3320,47.15790884,-68.09728275,"ME","Maine"
3381,48.09468983,-124.43994578,"WA","Washington"
3382,48.12633717,-123.69056411,"WA","Washington"
3383,48.6400654,-122.06746556,"WA","Washington"
3384,48.75156579,-120.80624888,"WA","Washington"
3385,48.85559999,-119.40140201,"WA","Washington"
3386,48.94171421,-118.1535909,"WA","Washington"
