FID,Persistence,Family,Genus,Genus_species,Repro_strategy,M_wing_color,z.temp.change,z.burned
1493,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,-0.534585575,-0.634698653
1495,1,Corduliidae,Didymops,Didymops_transversa,f,y,0.162118357,-0.575881389
1496,0,Gomphidae,Hagenius,Hagenius_brevistylus,f,n,0.207361991,0.378786255
1496,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,0.207361991,0.378786255
1497,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,1.18299706,0.240079351
1563,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,-2.420734874,-0.78039209
1563,1,Aeshnidae,Anax,Anax_junius,f,n,-2.420734874,-0.78039209
1564,0,Libellulidae,Plathemis,Plathemis_lydia,p,y,-1.586097318,1.716990286
1564,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-1.586097318,1.716990286
1564,1,Aeshnidae,Anax,Anax_junius,f,n,-1.586097318,1.716990286
1564,1,Libellulidae,Libellula,Libellula_saturata,p,y,-1.586097318,1.716990286
1564,1,Aeshnidae,Rhionaeschna,Rhionaeschna_multicolor,f,n,-1.586097318,1.716990286
1564,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,-1.586097318,1.716990286
1565,1,Aeshnidae,Anax,Anax_junius,f,n,-1.641259051,1.915909627
1565,1,Libellulidae,Libellula,Libellula_saturata,p,y,-1.641259051,1.915909627
